1238964990469484544,"PEMDA DKI SELALU SATU LANGKAH DI DEPAN dalam PENANGAN CORONA.GOODBENER @aniesbaswedan  NGGA PLANGAK PLONGOK.FAKTA!!🤣🤣… https//t.co/yU02tL288N",positive,aniesbaswedan
1238977551600476160,"@ChristWamea @aniesbaswedan alhamdulillah kita punya saudara sebangsa yang selalu menjaga ukhuwwah wathoniyah,semoga… https//t.co/nCvNeaMbAZ",positive,aniesbaswedan
1238965334888988674,"@OkaWijaya @jokowi Justru kami warga Jakarta berterima kasih kpd @aniesbaswedan Krn dg gamblangnya beliau ungkapkan… https//t.co/4ncOyNZG5F",positive,aniesbaswedan
1238966066438537216,"@Hilmi28 @th3l4w @aniesbaswedan #IndonesiaButuhAnies",positive,aniesbaswedan
1238966264124465152,"Pemimpin jangan  suka cengengesan sprt org bodoh ",negative,aniesbaswedan
1238968816492634112,"@msaid_didu Ya betul, indonesia butuh pemimpin seperti @aniesbaswedan yang bukan kaleng-kaleng.",positive,aniesbaswedan
1238975294037299201,"@D_m3chy @idtodayco indonesia butuh pemimpin spt pak @aniesbaswedan ini, one of Top world leaders.… https//t.co/psEZdaUe3h",positive,aniesbaswedan
1238975473889062912,"@GunRomli @aniesbaswedan Soalnya beda sdm nya broo sdm DKI lebih tanggap",positive,aniesbaswedan
1238975814017810433,"@Andyjoy38377815 @RyanDirhamsyah ini yang namanya pemimpin... Gubernur @aniesbaswedan . melakukan tugasnya sebagai ke… https//t.co/DJW9QiZPut",positive,aniesbaswedan
1239700546178576384,"MasyaAllah Barokallah Pak @aniesbaswedan 🙏 Semoga bapak di beri kesehatan keselamatan dan selalu dalam lindungan-N… https//t.co/y7smh9o6O0",positive,aniesbaswedan
1238973913159233537,"@LisaAmartatara3 Statement kelas seorang Presiden, Insya Allah pak @aniesbaswedan Presiden RI ke 8, aamiin...🤲",positive,aniesbaswedan
1238974410444308480,"@haifainayah @Anggarinii90 @aniesbaswedan Do it pak....asap....",positive,aniesbaswedan
1238974878356668418,"Saat ini indonesia butuh pemimpin mungkin @aniesbaswedan bisa bantu?indonesia butuh pemimpin https//t.co/jbs8mOpDPH",positive,aniesbaswedan
1242238519822544896,"@aniesbaswedan @tzuchiindonesia @dinkesJKT @BNPB_Indonesia alhamdulillah barokah pak anies, semoga dalam lindungan Al… https//t.co/hvUDnyimdj",positive,aniesbaswedan
1242238693936513024,"@galangreal1 @DrTaufan1 @zarazettirazr @aniesbaswedan Terima kasih kawan infonya",positive,aniesbaswedan
1242237696203837441,"Semoga pak @aniesbaswedan dan para jajaran pemprov @DKIJakarta sehat selalu",positive,aniesbaswedan
1242236901056057345,"semoga dgn adanya corona makin smart n toleran,yang tinggal hidup di sini kita sama sama indonesia#stoprasis",positive,aniesbaswedan
1242236524571152385,"@gie_nakayah8 @aniesbaswedan @permadiaktivis @GunRomli Masyaallah tabarakallah....luar biasa pak @aniesbaswedan, sehat terus ya pak",positive,aniesbaswedan
1242236437472280576,"@marlina_idha @aniesbaswedan alhamdulillah....mantap Pak @aniesbaswedan Barakallah....",positive,aniesbaswedan
1242234898745708545,"@aniesbaswedan @tzuchiindonesia @dinkesJKT @BNPB_Indonesia Alhamdulillaah... terima kasih Saudaraku umat Budha 🙏",positive,aniesbaswedan
1242234884095000576,"@aniesbaswedan @dinkesJKT @BNPB_Indonesia alhamdulillah, semoga wabah virus covid-19 ini cepat berhenti selamanya",positive,aniesbaswedan
1242234435501559808,"@aniesbaswedan @tzuchiindonesia @dinkesJKT @BNPB_Indonesia Kerjakan dengan baik dan sesuai Prosedur!",positive,aniesbaswedan
1242234184355192844,"alhamdulillah, malam ini tiba 100 ribu alat rapid-testing corona dan 50 ribu masker untuk digunakan di Jakarta. Terima kasih kami pada Yayasan Buddha Tzu Chi Indonesia. Hari Sabtu kemarin mereka mengabarkan, dan sesuai rencana Senin tiba di Jakarta.",positive,aniesbaswedan
1242233774965837826,"@gie_nakayah8 @aniesbaswedan @permadiaktivis @GunRomli MasyaaALLAH... Barakallah pak @aniesbaswedan ... Pemimpin Republik Indonesia",positive,aniesbaswedan
1242233771320991744,"Selalu respect sm yayasan yang satu ini.. konsisten berbuat amal yang gak pandang agama.. dan bantuan keuangan mereka juga luar biasa.. member2 nya org kaya yang sama sekali gak pelit..",positive,aniesbaswedan
1242233237197463552,"@aniesbaswedan @tzuchiindonesia Sehat dan sukses selalu, Do'a kami Bersamamu.",positive,aniesbaswedan
1242232744362401792,"@aniesbaswedan @tzuchiindonesia alhamdulillah.....insyaallah barokah.....",positive,aniesbaswedan
1242231819929440257,"@gie_nakayah8 @aniesbaswedan @permadiaktivis @GunRomli Harus sy akui,penanganan pemprov DKI terkait Corona amat sangat baik.",positive,aniesbaswedan
1242231504962347008,"@tempodotco INilah namanya dari rakyat untuk rakyat goodbener @aniesbaswedan",positive,aniesbaswedan
1242230894854733825,"Syukurlah alat yang didatangkan dari China dan sumbangan konglomerat China Jack Ma bisa membantu masyrakat banyak",positive,aniesbaswedan
1242230799807557636,"@marlina_idha @aniesbaswedan alhamdulillah. Tanpa harus menunggu lama. Semoga terpenuhi. Aamiin",positive,aniesbaswedan
